name	version	require-dev
vlucas/phpdotenv	v5.4.1	ext-filter	*
vlucas/phpdotenv	v5.4.1	phpunit/phpunit	^7.5.20 || ^8.5.21 || ^9.5.10
voku/portable-ascii	1.5.6	phpunit/phpunit	~6.0 || ~7.0 || ~9.0
webmozart/assert	1.10.0	phpunit/phpunit	^8.5.13
----
name	version	require-dev
doctrine/instantiator	1.4.0	doctrine/coding-standard	^8.0
doctrine/instantiator	1.4.0	ext-pdo	*
doctrine/instantiator	1.4.0	ext-phar	*
doctrine/instantiator	1.4.0	phpbench/phpbench	^0.13 || 1.0.0-alpha2
doctrine/instantiator	1.4.0	phpstan/phpstan	^0.12
doctrine/instantiator	1.4.0	phpstan/phpstan-phpunit	^0.12
doctrine/instantiator	1.4.0	phpunit/phpunit	^7.0 || ^8.0 || ^9.0
facade/flare-client-php	1.9.1	friendsofphp/php-cs-fixer	^2.14
facade/flare-client-php	1.9.1	phpunit/phpunit	^7.5.16
facade/flare-client-php	1.9.1	spatie/phpunit-snapshot-assertions	^2.0
facade/ignition	2.17.2	friendsofphp/php-cs-fixer	^2.14
facade/ignition	2.17.2	livewire/livewire	^2.4
facade/ignition	2.17.2	mockery/mockery	^1.3
facade/ignition	2.17.2	orchestra/testbench	^5.0|^6.0
facade/ignition	2.17.2	psalm/plugin-laravel	^1.2
facade/ignition-contracts	1.0.2	friendsofphp/php-cs-fixer	^v2.15.8
facade/ignition-contracts	1.0.2	phpunit/phpunit	^9.3.11
facade/ignition-contracts	1.0.2	vimeo/psalm	^3.17.1
fakerphp/faker	v1.17.0	bamarni/composer-bin-plugin	^1.4.1
fakerphp/faker	v1.17.0	ext-intl	*
fakerphp/faker	v1.17.0	symfony/phpunit-bridge	^4.4 || ^5.2
filp/whoops	2.14.4	mockery/mockery	^0.9 || ^1.0
filp/whoops	2.14.4	phpunit/phpunit	^4.8.36 || ^5.7.27 || ^6.5.14 || ^7.5.20 || ^8.5.8 || ^9.3.3
filp/whoops	2.14.4	symfony/var-dumper	^2.6 || ^3.0 || ^4.0 || ^5.0
hamcrest/hamcrest-php	v2.0.1	phpunit/php-file-iterator	^1.4 || ^2.0
hamcrest/hamcrest-php	v2.0.1	phpunit/phpunit	^4.8.36 || ^5.7 || ^6.5 || ^7.0
laravel/sail	v1.12.12	-	-
mockery/mockery	1.4.4	phpunit/phpunit	^8.5 || ^9.3
myclabs/deep-copy	1.10.2	doctrine/collections	^1.0
myclabs/deep-copy	1.10.2	doctrine/common	^2.6
myclabs/deep-copy	1.10.2	phpunit/phpunit	^7.1
nunomaduro/collision	v5.10.0	brianium/paratest	^6.1
nunomaduro/collision	v5.10.0	fideloper/proxy	^4.4.1
nunomaduro/collision	v5.10.0	fruitcake/laravel-cors	^2.0.3
nunomaduro/collision	v5.10.0	laravel/framework	8.x-dev
nunomaduro/collision	v5.10.0	nunomaduro/larastan	^0.6.2
nunomaduro/collision	v5.10.0	nunomaduro/mock-final-classes	^1.0
nunomaduro/collision	v5.10.0	orchestra/testbench	^6.0
nunomaduro/collision	v5.10.0	phpstan/phpstan	^0.12.64
nunomaduro/collision	v5.10.0	phpunit/phpunit	^9.5.0
phar-io/manifest	2.0.3	-	-
phar-io/version	3.1.0	-	-
phpdocumentor/reflection-common	2.2.0	-	-
phpdocumentor/reflection-docblock	5.3.0	mockery/mockery	~1.3.2
phpdocumentor/reflection-docblock	5.3.0	psalm/phar	^4.8
phpdocumentor/type-resolver	1.5.1	ext-tokenizer	*
phpdocumentor/type-resolver	1.5.1	psalm/phar	^4.8
phpspec/prophecy	v1.15.0	phpspec/phpspec	^6.0 || ^7.0
phpspec/prophecy	v1.15.0	phpunit/phpunit	^8.0 || ^9.0
phpunit/php-code-coverage	9.2.10	phpunit/phpunit	^9.3
phpunit/php-file-iterator	3.0.6	phpunit/phpunit	^9.3
phpunit/php-invoker	3.1.1	ext-pcntl	*
phpunit/php-invoker	3.1.1	phpunit/phpunit	^9.3
phpunit/php-text-template	2.0.4	phpunit/phpunit	^9.3
phpunit/php-timer	5.0.3	phpunit/phpunit	^9.3
phpunit/phpunit	9.5.10	ext-pdo	*
phpunit/phpunit	9.5.10	phpspec/prophecy-phpunit	^2.0.1
sebastian/cli-parser	1.0.1	phpunit/phpunit	^9.3
sebastian/code-unit	1.0.8	phpunit/phpunit	^9.3
sebastian/code-unit-reverse-lookup	2.0.3	phpunit/phpunit	^9.3
sebastian/comparator	4.0.6	phpunit/phpunit	^9.3
sebastian/complexity	2.0.2	phpunit/phpunit	^9.3
sebastian/diff	4.0.4	phpunit/phpunit	^9.3
sebastian/diff	4.0.4	symfony/process	^4.2 || ^5
sebastian/environment	5.1.3	phpunit/phpunit	^9.3
sebastian/exporter	4.0.4	ext-mbstring	*
sebastian/exporter	4.0.4	phpunit/phpunit	^9.3
sebastian/global-state	5.0.3	ext-dom	*
sebastian/global-state	5.0.3	phpunit/phpunit	^9.3
sebastian/lines-of-code	1.0.3	phpunit/phpunit	^9.3
sebastian/object-enumerator	4.0.4	phpunit/phpunit	^9.3
sebastian/object-reflector	2.0.4	phpunit/phpunit	^9.3
sebastian/recursion-context	4.0.4	phpunit/phpunit	^9.3
sebastian/resource-operations	3.0.3	phpunit/phpunit	^9.0
sebastian/type	2.3.4	phpunit/phpunit	^9.3
sebastian/version	3.0.2	-	-
theseer/tokenizer	1.2.1	-	-
----
